mode,C,nnz,cv_auc
natural,0.001,0,0.5
natural,0.0013738237958832624,0,0.5
natural,0.0018873918221350976,0,0.5
natural,0.002592943797404667,0,0.5
natural,0.003562247890262444,0,0.5
natural,0.004893900918477494,0,0.5
natural,0.006723357536499335,0,0.5
natural,0.009236708571873866,0,0.5
natural,0.01268961003167922,0,0.5
natural,0.017433288221999882,0,0.44413233458177276
natural,0.02395026619987486,0,0.4542759051186017
natural,0.03290344562312668,0,0.4542759051186017
natural,0.04520353656360243,0,0.44709737827715357
natural,0.06210169418915616,0,0.4497503121098626
natural,0.08531678524172806,1,0.4307116104868914
natural,0.11721022975334805,5,0.4573970037453184
natural,0.16102620275609392,8,0.5065543071161048
natural,0.2212216291070448,12,0.5391697877652935
natural,0.3039195382313198,13,0.5547752808988763
natural,0.41753189365604004,19,0.5621098626716605
natural,0.5736152510448681,21,0.5664794007490637
natural,0.7880462815669912,21,0.5681960049937579
natural,1.0826367338740541,21,0.5675717852684145
natural,1.4873521072935119,21,0.5656991260923845
natural,2.0433597178569416,23,0.5639825218476904
natural,2.8072162039411754,23,0.5611735330836454
natural,3.856620421163472,25,0.5575842696629212
natural,5.298316906283707,25,0.5557116104868913
natural,7.278953843983146,25,0.5530586766541823
natural,10.0,25,0.550561797752809
balanced,0.001,0,0.5
balanced,0.0013738237958832624,0,0.5
balanced,0.0018873918221350976,0,0.5
balanced,0.002592943797404667,0,0.5
balanced,0.003562247890262444,0,0.5
balanced,0.004893900918477494,0,0.5
balanced,0.006723357536499335,0,0.5
balanced,0.009236708571873866,0,0.5
balanced,0.01268961003167922,0,0.5
balanced,0.017433288221999882,0,0.5
balanced,0.02395026619987486,0,0.5
balanced,0.03290344562312668,0,0.5
balanced,0.04520353656360243,0,0.43500312109862677
balanced,0.06210169418915616,4,0.44709737827715357
balanced,0.08531678524172806,8,0.49297752808988765
balanced,0.11721022975334805,10,0.531210986267166
balanced,0.16102620275609392,13,0.5480649188514357
balanced,0.2212216291070448,16,0.5541510611735331
balanced,0.3039195382313198,20,0.5527465667915106
balanced,0.41753189365604004,22,0.5555555555555556
balanced,0.5736152510448681,24,0.5500936329588014
balanced,0.7880462815669912,24,0.5502496878901373
balanced,1.0826367338740541,24,0.5482209737827716
balanced,1.4873521072935119,24,0.5472846441947565
balanced,2.0433597178569416,24,0.5474406991260924
balanced,2.8072162039411754,25,0.5460362047440699
balanced,3.856620421163472,25,0.5454119850187267
balanced,5.298316906283707,25,0.5446317103620475
balanced,7.278953843983146,25,0.5446317103620475
balanced,10.0,25,0.5443196004993758
smote,0.001,0,0.5
smote,0.0013738237958832624,0,0.5
smote,0.0018873918221350976,0,0.5
smote,0.002592943797404667,0,0.5
smote,0.003562247890262444,0,0.5
smote,0.004893900918477494,0,0.5
smote,0.006723357536499335,0,0.5
smote,0.009236708571873866,0,0.5
smote,0.01268961003167922,0,0.5
smote,0.017433288221999882,0,0.5
smote,0.02395026619987486,0,0.3868601747815231
smote,0.03290344562312668,0,0.43289637952559307
smote,0.04520353656360243,0,0.4740948813982522
smote,0.06210169418915616,0,0.512796504369538
smote,0.08531678524172806,1,0.5410424469413233
smote,0.11721022975334805,5,0.5502496878901373
smote,0.16102620275609392,8,0.5560237203495632
smote,0.2212216291070448,12,0.5568039950062421
smote,0.3039195382313198,13,0.5535268414481899
smote,0.41753189365604004,19,0.5518102372034955
smote,0.5736152510448681,21,0.5494694132334582
smote,0.7880462815669912,21,0.5491573033707865
smote,1.0826367338740541,21,0.5474406991260924
smote,1.4873521072935119,21,0.5463483146067416
smote,2.0433597178569416,23,0.5446317103620475
smote,2.8072162039411754,23,0.5427590511860175
smote,3.856620421163472,25,0.5427590511860175
smote,5.298316906283707,25,0.5415106117353308
smote,7.278953843983146,25,0.5411985018726592
smote,10.0,25,0.5411985018726592
