Variable,Overall (n=214),No rescue (n=178),Rescue (n=36),P
"Age, years, median (iqr)",75.0 (67.0–83.0),74.0 (67.0–82.0),79.5 (70.8–87.0),0.078
Age <65 years,44 (20.6%),40 (22.5%),4 (11.1%),0.174
Age 65–80 years,102 (47.7%),85 (47.8%),17 (47.2%),0.954
Age >80 years,68 (31.8%),53 (29.8%),15 (41.7%),0.162
Male sex,146 (68.2%),121 (68.0%),25 (69.4%),0.863
Current smoker,15 (7.0%),13 (7.3%),2 (5.6%),1.000
Former smoker,71 (33.2%),60 (33.7%),11 (30.6%),0.714
Hypertension,115 (53.7%),100 (56.2%),15 (41.7%),0.111
Diabetes mellitus,50 (23.4%),40 (22.5%),10 (27.8%),0.493
Liver disease,57 (26.6%),47 (26.4%),10 (27.8%),0.865
Malignancy,36 (16.8%),29 (16.3%),7 (19.4%),0.645
Anticoagulation use,55 (25.7%),43 (24.2%),12 (33.3%),0.251
Antiplatelet use,78 (36.4%),60 (33.7%),18 (50.0%),0.064
"Hemoglobin, g/dL, mean ± sd",11.7 ± 2.0,11.7 ± 1.9,11.8 ± 2.1,0.862
"Platelets, ×10⁹/L, median (iqr)",209.0 (157.0–259.0),212.0 (160.0–261.0),170.5 (146.0–219.0),0.028
"INR pre-procedure, median (iqr)",1.1 (1.0–1.2),1.1 (1.0–1.2),1.2 (1.1–1.2),0.623
"SDH volume baseline, mL, median (iqr)",77.1 (53.6–114.4),76.1 (52.4–109.1),102.6 (67.9–129.5),0.038
"Midline shift baseline, mm, median (iqr)",4.0 (0.0–6.9),4.0 (0.0–6.8),3.9 (1.6–7.2),0.420
Focal neurological deficit,56 (26.2%),52 (29.2%),4 (11.1%),0.023
Headache,93 (43.5%),77 (43.3%),16 (44.4%),0.896
History of fall,128 (59.8%),103 (57.9%),25 (69.4%),0.196
"GCS on presentation, median (iqr)",15.0 (15.0–15.0),15.0 (15.0–15.0),15.0 (14.0–15.0),0.402
"Baseline mRS, median (iqr)",2.0 (1.0–3.0),2.0 (1.0–3.0),2.0 (1.0–2.5),0.853
Anterior + posterior embolization,115 (53.7%),92 (51.7%),23 (63.9%),0.180
Liquid embolic used,22 (10.3%),20 (11.2%),2 (5.6%),0.545
