variable,OR,OR_lo,OR_hi,p
"Age (per category, <65/65–80/>80)",1.6038781589556201,0.9488911665159778,2.710980183554648,0.0777202100228785
Age <65,0.43124668598674515,0.14392392592264405,1.2921666983605433,0.13305268641688064
Age 65–80,0.9789505862878738,0.4777518576339867,2.0059456286354713,0.9536510417304372
Age >80,1.684752879039208,0.8067555179912933,3.5182805696800115,0.1650148452468262
SDH volume ≥100 mL,2.2956956379857947,1.09740804685694,4.802423745079425,0.027328523014378176
Anticoagulation,1.5697680485186691,0.7244375480669286,3.401496419843844,0.25307367103403866
Absence of focal deficit,3.3015715412438738,1.111742860573378,9.804762439697262,0.03149941321951333
Platelets <150 ×10⁹/L,1.9333343660214213,0.8655761963510946,4.318258504099775,0.10786237152382658
Antiplatelet therapy,1.9666835523387551,0.953974924766952,4.05445058839955,0.06690442176800021
Anterior + posterior embolization,1.6539649117739084,0.7884236070093956,3.4697082952092186,0.18315606385942418
